Date,Source,Site ID,POC,NO2,UNITS,DAILY_AQI_VALUE,Site Name,DAILY_OBS_COUNT,PERCENT_COMPLETE,AQS_PARAMETER_CODE,AQS_PARAMETER_DESC,CBSA_CODE,CBSA_NAME,STATE_CODE,STATE,COUNTY_CODE,COUNTY,SITE_LATITUDE,SITE_LONGITUDE
1/1/2023,AQS,371190041,1,12.6,ppb,11,Garinger High School,22,92,42602,Nitrogen dioxide (NO2),16740,"Charlotte-Concord-Gastonia, NC-SC",37,North Carolina,119,Mecklenburg,35.2401,-80.785683
1/2/2023,AQS,371190041,1,12.1,ppb,11,Garinger High School,24,100,42602,Nitrogen dioxide (NO2),16740,"Charlotte-Concord-Gastonia, NC-SC",37,North Carolina,119,Mecklenburg,35.2401,-80.785683
1/3/2023,AQS,371190041,1,6.4,ppb,6,Garinger High School,22,92,42602,Nitrogen dioxide (NO2),16740,"Charlotte-Concord-Gastonia, NC-SC",37,North Carolina,119,Mecklenburg,35.2401,-80.785683
1/4/2023,AQS,371190041,1,9,ppb,8,Garinger High School,24,100,42602,Nitrogen dioxide (NO2),16740,"Charlotte-Concord-Gastonia, NC-SC",37,North Carolina,119,Mecklenburg,35.2401,-80.785683
1/5/2023,AQS,371190041,1,15.6,ppb,14,Garinger High School,22,92,42602,Nitrogen dioxide (NO2),16740,"Charlotte-Concord-Gastonia, NC-SC",37,North Carolina,119,Mecklenburg,35.2401,-80.785683
1/6/2023,AQS,371190041,1,33.5,ppb,31,Garinger High School,24,100,42602,Nitrogen dioxide (NO2),16740,"Charlotte-Concord-Gastonia, NC-SC",37,North Carolina,119,Mecklenburg,35.2401,-80.785683
1/7/2023,AQS,371190041,1,25,ppb,24,Garinger High School,22,92,42602,Nitrogen dioxide (NO2),16740,"Charlotte-Concord-Gastonia, NC-SC",37,North Carolina,119,Mecklenburg,35.2401,-80.785683
1/8/2023,AQS,371190041,1,25.5,ppb,24,Garinger High School,24,100,42602,Nitrogen dioxide (NO2),16740,"Charlotte-Concord-Gastonia, NC-SC",37,North Carolina,119,Mecklenburg,35.2401,-80.785683
1/9/2023,AQS,371190041,1,33.3,ppb,31,Garinger High School,22,92,42602,Nitrogen dioxide (NO2),16740,"Charlotte-Concord-Gastonia, NC-SC",37,North Carolina,119,Mecklenburg,35.2401,-80.785683
1/10/2023,AQS,371190041,1,35,ppb,33,Garinger High School,24,100,42602,Nitrogen dioxide (NO2),16740,"Charlotte-Concord-Gastonia, NC-SC",37,North Carolina,119,Mecklenburg,35.2401,-80.785683
1/12/2023,AQS,371190041,1,7.4,ppb,7,Garinger High School,24,100,42602,Nitrogen dioxide (NO2),16740,"Charlotte-Concord-Gastonia, NC-SC",37,North Carolina,119,Mecklenburg,35.2401,-80.785683
1/13/2023,AQS,371190041,1,11.2,ppb,10,Garinger High School,22,92,42602,Nitrogen dioxide (NO2),16740,"Charlotte-Concord-Gastonia, NC-SC",37,North Carolina,119,Mecklenburg,35.2401,-80.785683
1/14/2023,AQS,371190041,1,7.9,ppb,7,Garinger High School,24,100,42602,Nitrogen dioxide (NO2),16740,"Charlotte-Concord-Gastonia, NC-SC",37,North Carolina,119,Mecklenburg,35.2401,-80.785683
1/15/2023,AQS,371190041,1,32.7,ppb,30,Garinger High School,22,92,42602,Nitrogen dioxide (NO2),16740,"Charlotte-Concord-Gastonia, NC-SC",37,North Carolina,119,Mecklenburg,35.2401,-80.785683
1/16/2023,AQS,371190041,1,28.5,ppb,26,Garinger High School,24,100,42602,Nitrogen dioxide (NO2),16740,"Charlotte-Concord-Gastonia, NC-SC",37,North Carolina,119,Mecklenburg,35.2401,-80.785683
1/17/2023,AQS,371190041,1,8.5,ppb,8,Garinger High School,22,92,42602,Nitrogen dioxide (NO2),16740,"Charlotte-Concord-Gastonia, NC-SC",37,North Carolina,119,Mecklenburg,35.2401,-80.785683
1/18/2023,AQS,371190041,1,21.4,ppb,20,Garinger High School,24,100,42602,Nitrogen dioxide (NO2),16740,"Charlotte-Concord-Gastonia, NC-SC",37,North Carolina,119,Mecklenburg,35.2401,-80.785683
1/19/2023,AQS,371190041,1,8.9,ppb,8,Garinger High School,22,92,42602,Nitrogen dioxide (NO2),16740,"Charlotte-Concord-Gastonia, NC-SC",37,North Carolina,119,Mecklenburg,35.2401,-80.785683
1/20/2023,AQS,371190041,1,20.6,ppb,19,Garinger High School,24,100,42602,Nitrogen dioxide (NO2),16740,"Charlotte-Concord-Gastonia, NC-SC",37,North Carolina,119,Mecklenburg,35.2401,-80.785683
1/21/2023,AQS,371190041,1,21.6,ppb,20,Garinger High School,22,92,42602,Nitrogen dioxide (NO2),16740,"Charlotte-Concord-Gastonia, NC-SC",37,North Carolina,119,Mecklenburg,35.2401,-80.785683
1/22/2023,AQS,371190041,1,17.1,ppb,16,Garinger High School,24,100,42602,Nitrogen dioxide (NO2),16740,"Charlotte-Concord-Gastonia, NC-SC",37,North Carolina,119,Mecklenburg,35.2401,-80.785683
1/25/2023,AQS,371190041,1,28.5,ppb,26,Garinger High School,22,92,42602,Nitrogen dioxide (NO2),16740,"Charlotte-Concord-Gastonia, NC-SC",37,North Carolina,119,Mecklenburg,35.2401,-80.785683
1/26/2023,AQS,371190041,1,20.5,ppb,19,Garinger High School,24,100,42602,Nitrogen dioxide (NO2),16740,"Charlotte-Concord-Gastonia, NC-SC",37,North Carolina,119,Mecklenburg,35.2401,-80.785683
1/27/2023,AQS,371190041,1,28.7,ppb,26,Garinger High School,22,92,42602,Nitrogen dioxide (NO2),16740,"Charlotte-Concord-Gastonia, NC-SC",37,North Carolina,119,Mecklenburg,35.2401,-80.785683
1/28/2023,AQS,371190041,1,23.8,ppb,22,Garinger High School,24,100,42602,Nitrogen dioxide (NO2),16740,"Charlotte-Concord-Gastonia, NC-SC",37,North Carolina,119,Mecklenburg,35.2401,-80.785683
1/29/2023,AQS,371190041,1,17.9,ppb,16,Garinger High School,22,92,42602,Nitrogen dioxide (NO2),16740,"Charlotte-Concord-Gastonia, NC-SC",37,North Carolina,119,Mecklenburg,35.2401,-80.785683
1/30/2023,AQS,371190041,1,19.3,ppb,18,Garinger High School,24,100,42602,Nitrogen dioxide (NO2),16740,"Charlotte-Concord-Gastonia, NC-SC",37,North Carolina,119,Mecklenburg,35.2401,-80.785683
1/31/2023,AQS,371190041,1,17.4,ppb,16,Garinger High School,22,92,42602,Nitrogen dioxide (NO2),16740,"Charlotte-Concord-Gastonia, NC-SC",37,North Carolina,119,Mecklenburg,35.2401,-80.785683
2/1/2023,AQS,371190041,1,9,ppb,8,Garinger High School,24,100,42602,Nitrogen dioxide (NO2),16740,"Charlotte-Concord-Gastonia, NC-SC",37,North Carolina,119,Mecklenburg,35.2401,-80.785683
2/2/2023,AQS,371190041,1,20.2,ppb,19,Garinger High School,22,92,42602,Nitrogen dioxide (NO2),16740,"Charlotte-Concord-Gastonia, NC-SC",37,North Carolina,119,Mecklenburg,35.2401,-80.785683
2/4/2023,AQS,371190041,1,19.1,ppb,18,Garinger High School,22,92,42602,Nitrogen dioxide (NO2),16740,"Charlotte-Concord-Gastonia, NC-SC",37,North Carolina,119,Mecklenburg,35.2401,-80.785683
2/5/2023,AQS,371190041,1,18,ppb,17,Garinger High School,24,100,42602,Nitrogen dioxide (NO2),16740,"Charlotte-Concord-Gastonia, NC-SC",37,North Carolina,119,Mecklenburg,35.2401,-80.785683
2/6/2023,AQS,371190041,1,40.2,ppb,38,Garinger High School,21,88,42602,Nitrogen dioxide (NO2),16740,"Charlotte-Concord-Gastonia, NC-SC",37,North Carolina,119,Mecklenburg,35.2401,-80.785683
2/7/2023,AQS,371190041,1,32.1,ppb,30,Garinger High School,24,100,42602,Nitrogen dioxide (NO2),16740,"Charlotte-Concord-Gastonia, NC-SC",37,North Carolina,119,Mecklenburg,35.2401,-80.785683
2/8/2023,AQS,371190041,1,22.6,ppb,21,Garinger High School,22,92,42602,Nitrogen dioxide (NO2),16740,"Charlotte-Concord-Gastonia, NC-SC",37,North Carolina,119,Mecklenburg,35.2401,-80.785683
2/9/2023,AQS,371190041,1,14.8,ppb,13,Garinger High School,21,88,42602,Nitrogen dioxide (NO2),16740,"Charlotte-Concord-Gastonia, NC-SC",37,North Carolina,119,Mecklenburg,35.2401,-80.785683
2/10/2023,AQS,371190041,1,17.4,ppb,16,Garinger High School,22,92,42602,Nitrogen dioxide (NO2),16740,"Charlotte-Concord-Gastonia, NC-SC",37,North Carolina,119,Mecklenburg,35.2401,-80.785683
2/11/2023,AQS,371190041,1,9.1,ppb,8,Garinger High School,24,100,42602,Nitrogen dioxide (NO2),16740,"Charlotte-Concord-Gastonia, NC-SC",37,North Carolina,119,Mecklenburg,35.2401,-80.785683
2/12/2023,AQS,371190041,1,7.9,ppb,7,Garinger High School,22,92,42602,Nitrogen dioxide (NO2),16740,"Charlotte-Concord-Gastonia, NC-SC",37,North Carolina,119,Mecklenburg,35.2401,-80.785683
2/13/2023,AQS,371190041,1,37.9,ppb,35,Garinger High School,24,100,42602,Nitrogen dioxide (NO2),16740,"Charlotte-Concord-Gastonia, NC-SC",37,North Carolina,119,Mecklenburg,35.2401,-80.785683
2/14/2023,AQS,371190041,1,33.5,ppb,31,Garinger High School,22,92,42602,Nitrogen dioxide (NO2),16740,"Charlotte-Concord-Gastonia, NC-SC",37,North Carolina,119,Mecklenburg,35.2401,-80.785683
2/15/2023,AQS,371190041,1,15.6,ppb,14,Garinger High School,24,100,42602,Nitrogen dioxide (NO2),16740,"Charlotte-Concord-Gastonia, NC-SC",37,North Carolina,119,Mecklenburg,35.2401,-80.785683
2/16/2023,AQS,371190041,1,12.8,ppb,11,Garinger High School,22,92,42602,Nitrogen dioxide (NO2),16740,"Charlotte-Concord-Gastonia, NC-SC",37,North Carolina,119,Mecklenburg,35.2401,-80.785683
2/17/2023,AQS,371190041,1,7,ppb,7,Garinger High School,24,100,42602,Nitrogen dioxide (NO2),16740,"Charlotte-Concord-Gastonia, NC-SC",37,North Carolina,119,Mecklenburg,35.2401,-80.785683
2/18/2023,AQS,371190041,1,26.4,ppb,25,Garinger High School,22,92,42602,Nitrogen dioxide (NO2),16740,"Charlotte-Concord-Gastonia, NC-SC",37,North Carolina,119,Mecklenburg,35.2401,-80.785683
2/19/2023,AQS,371190041,1,19.7,ppb,18,Garinger High School,24,100,42602,Nitrogen dioxide (NO2),16740,"Charlotte-Concord-Gastonia, NC-SC",37,North Carolina,119,Mecklenburg,35.2401,-80.785683
2/20/2023,AQS,371190041,1,13.3,ppb,12,Garinger High School,22,92,42602,Nitrogen dioxide (NO2),16740,"Charlotte-Concord-Gastonia, NC-SC",37,North Carolina,119,Mecklenburg,35.2401,-80.785683
2/21/2023,AQS,371190041,1,35.6,ppb,33,Garinger High School,24,100,42602,Nitrogen dioxide (NO2),16740,"Charlotte-Concord-Gastonia, NC-SC",37,North Carolina,119,Mecklenburg,35.2401,-80.785683
2/22/2023,AQS,371190041,1,25.6,ppb,24,Garinger High School,22,92,42602,Nitrogen dioxide (NO2),16740,"Charlotte-Concord-Gastonia, NC-SC",37,North Carolina,119,Mecklenburg,35.2401,-80.785683
2/23/2023,AQS,371190041,1,3.7,ppb,3,Garinger High School,24,100,42602,Nitrogen dioxide (NO2),16740,"Charlotte-Concord-Gastonia, NC-SC",37,North Carolina,119,Mecklenburg,35.2401,-80.785683
2/24/2023,AQS,371190041,1,14.9,ppb,13,Garinger High School,22,92,42602,Nitrogen dioxide (NO2),16740,"Charlotte-Concord-Gastonia, NC-SC",37,North Carolina,119,Mecklenburg,35.2401,-80.785683
2/25/2023,AQS,371190041,1,9.7,ppb,8,Garinger High School,24,100,42602,Nitrogen dioxide (NO2),16740,"Charlotte-Concord-Gastonia, NC-SC",37,North Carolina,119,Mecklenburg,35.2401,-80.785683
