Date,Source,Site ID,POC,NO2,UNITS,DAILY_AQI_VALUE,Site Name,DAILY_OBS_COUNT,PERCENT_COMPLETE,AQS_PARAMETER_CODE,AQS_PARAMETER_DESC,CBSA_CODE,CBSA_NAME,STATE_CODE,STATE,COUNTY_CODE,COUNTY,SITE_LATITUDE,SITE_LONGITUDE
1/1/2023,AQS,371830014,3,17.9,ppb,16,Millbrook School,23,96,42602,Nitrogen dioxide (NO2),39580,"Raleigh, NC",37,North Carolina,183,Wake,35.856111,-78.574167
1/2/2023,AQS,371830014,3,11.4,ppb,10,Millbrook School,23,96,42602,Nitrogen dioxide (NO2),39580,"Raleigh, NC",37,North Carolina,183,Wake,35.856111,-78.574167
1/3/2023,AQS,371830014,3,13.8,ppb,12,Millbrook School,23,96,42602,Nitrogen dioxide (NO2),39580,"Raleigh, NC",37,North Carolina,183,Wake,35.856111,-78.574167
1/4/2023,AQS,371830014,3,7,ppb,7,Millbrook School,21,88,42602,Nitrogen dioxide (NO2),39580,"Raleigh, NC",37,North Carolina,183,Wake,35.856111,-78.574167
1/5/2023,AQS,371830014,3,16.7,ppb,15,Millbrook School,23,96,42602,Nitrogen dioxide (NO2),39580,"Raleigh, NC",37,North Carolina,183,Wake,35.856111,-78.574167
1/6/2023,AQS,371830014,3,33.5,ppb,31,Millbrook School,23,96,42602,Nitrogen dioxide (NO2),39580,"Raleigh, NC",37,North Carolina,183,Wake,35.856111,-78.574167
1/7/2023,AQS,371830014,3,30.5,ppb,28,Millbrook School,23,96,42602,Nitrogen dioxide (NO2),39580,"Raleigh, NC",37,North Carolina,183,Wake,35.856111,-78.574167
1/8/2023,AQS,371830014,3,20.3,ppb,19,Millbrook School,23,96,42602,Nitrogen dioxide (NO2),39580,"Raleigh, NC",37,North Carolina,183,Wake,35.856111,-78.574167
1/9/2023,AQS,371830014,3,28.2,ppb,26,Millbrook School,23,96,42602,Nitrogen dioxide (NO2),39580,"Raleigh, NC",37,North Carolina,183,Wake,35.856111,-78.574167
1/10/2023,AQS,371830014,3,25,ppb,24,Millbrook School,23,96,42602,Nitrogen dioxide (NO2),39580,"Raleigh, NC",37,North Carolina,183,Wake,35.856111,-78.574167
1/11/2023,AQS,371830014,3,23.4,ppb,22,Millbrook School,23,96,42602,Nitrogen dioxide (NO2),39580,"Raleigh, NC",37,North Carolina,183,Wake,35.856111,-78.574167
1/12/2023,AQS,371830014,3,17.9,ppb,16,Millbrook School,23,96,42602,Nitrogen dioxide (NO2),39580,"Raleigh, NC",37,North Carolina,183,Wake,35.856111,-78.574167
