Date,Source,Site ID,POC,PM10,UNITS,DAILY_AQI_VALUE,Site Name,DAILY_OBS_COUNT,PERCENT_COMPLETE,AQS_PARAMETER_CODE,AQS_PARAMETER_DESC,CBSA_CODE,CBSA_NAME,STATE_CODE,STATE,COUNTY_CODE,COUNTY,SITE_LATITUDE,SITE_LONGITUDE
1/1/2023,AQS,371190041,4,11,ug/m3 SC,10,Garinger High School,1,100,81102,PM10 Total 0-10um STP,16740,"Charlotte-Concord-Gastonia, NC-SC",37,North Carolina,119,Mecklenburg,35.2401,-80.785683
1/2/2023,AQS,371190041,4,12,ug/m3 SC,11,Garinger High School,1,100,81102,PM10 Total 0-10um STP,16740,"Charlotte-Concord-Gastonia, NC-SC",37,North Carolina,119,Mecklenburg,35.2401,-80.785683
1/3/2023,AQS,371190041,4,10,ug/m3 SC,9,Garinger High School,1,100,81102,PM10 Total 0-10um STP,16740,"Charlotte-Concord-Gastonia, NC-SC",37,North Carolina,119,Mecklenburg,35.2401,-80.785683
1/4/2023,AQS,371190041,4,2,ug/m3 SC,2,Garinger High School,1,100,81102,PM10 Total 0-10um STP,16740,"Charlotte-Concord-Gastonia, NC-SC",37,North Carolina,119,Mecklenburg,35.2401,-80.785683
1/5/2023,AQS,371190041,4,7,ug/m3 SC,6,Garinger High School,1,100,81102,PM10 Total 0-10um STP,16740,"Charlotte-Concord-Gastonia, NC-SC",37,North Carolina,119,Mecklenburg,35.2401,-80.785683
1/6/2023,AQS,371190041,4,9,ug/m3 SC,8,Garinger High School,1,100,81102,PM10 Total 0-10um STP,16740,"Charlotte-Concord-Gastonia, NC-SC",37,North Carolina,119,Mecklenburg,35.2401,-80.785683
1/7/2023,AQS,371190041,4,14,ug/m3 SC,13,Garinger High School,1,100,81102,PM10 Total 0-10um STP,16740,"Charlotte-Concord-Gastonia, NC-SC",37,North Carolina,119,Mecklenburg,35.2401,-80.785683
1/8/2023,AQS,371190041,4,17,ug/m3 SC,16,Garinger High School,1,100,81102,PM10 Total 0-10um STP,16740,"Charlotte-Concord-Gastonia, NC-SC",37,North Carolina,119,Mecklenburg,35.2401,-80.785683
1/9/2023,AQS,371190041,4,9,ug/m3 SC,8,Garinger High School,1,100,81102,PM10 Total 0-10um STP,16740,"Charlotte-Concord-Gastonia, NC-SC",37,North Carolina,119,Mecklenburg,35.2401,-80.785683
1/10/2023,AQS,371190041,4,16,ug/m3 SC,15,Garinger High School,1,100,81102,PM10 Total 0-10um STP,16740,"Charlotte-Concord-Gastonia, NC-SC",37,North Carolina,119,Mecklenburg,35.2401,-80.785683
1/11/2023,AQS,371190041,4,18,ug/m3 SC,17,Garinger High School,1,100,81102,PM10 Total 0-10um STP,16740,"Charlotte-Concord-Gastonia, NC-SC",37,North Carolina,119,Mecklenburg,35.2401,-80.785683
1/12/2023,AQS,371190041,4,12,ug/m3 SC,11,Garinger High School,1,100,81102,PM10 Total 0-10um STP,16740,"Charlotte-Concord-Gastonia, NC-SC",37,North Carolina,119,Mecklenburg,35.2401,-80.785683
1/13/2023,AQS,371190041,4,4,ug/m3 SC,4,Garinger High School,1,100,81102,PM10 Total 0-10um STP,16740,"Charlotte-Concord-Gastonia, NC-SC",37,North Carolina,119,Mecklenburg,35.2401,-80.785683
1/14/2023,AQS,371190041,4,3,ug/m3 SC,3,Garinger High School,1,100,81102,PM10 Total 0-10um STP,16740,"Charlotte-Concord-Gastonia, NC-SC",37,North Carolina,119,Mecklenburg,35.2401,-80.785683
