Date,Source,Site ID,POC,PM2,UNITS,DAILY_AQI_VALUE,Site Name,DAILY_OBS_COUNT,PERCENT_COMPLETE,AQS_PARAMETER_CODE,AQS_PARAMETER_DESC,CBSA_CODE,CBSA_NAME,STATE_CODE,STATE,COUNTY_CODE,COUNTY,SITE_LATITUDE,SITE_LONGITUDE
1/3/2023,AQS,371830014,1,9,ug/m3 LC,38,Millbrook School,1,100,88101,PM2.5 - Local Conditions,39580,"Raleigh, NC",37,North Carolina,183,Wake,35.856111,-78.574167
1/6/2023,AQS,371830014,1,4.1,ug/m3 LC,17,Millbrook School,1,100,88101,PM2.5 - Local Conditions,39580,"Raleigh, NC",37,North Carolina,183,Wake,35.856111,-78.574167
1/9/2023,AQS,371830014,1,6.3,ug/m3 LC,26,Millbrook School,1,100,88101,PM2.5 - Local Conditions,39580,"Raleigh, NC",37,North Carolina,183,Wake,35.856111,-78.574167
1/12/2023,AQS,371830014,1,8.2,ug/m3 LC,34,Millbrook School,1,100,88101,PM2.5 - Local Conditions,39580,"Raleigh, NC",37,North Carolina,183,Wake,35.856111,-78.574167
1/15/2023,AQS,371830014,1,6.5,ug/m3 LC,27,Millbrook School,1,100,88101,PM2.5 - Local Conditions,39580,"Raleigh, NC",37,North Carolina,183,Wake,35.856111,-78.574167
1/18/2023,AQS,371830014,1,7.4,ug/m3 LC,31,Millbrook School,1,100,88101,PM2.5 - Local Conditions,39580,"Raleigh, NC",37,North Carolina,183,Wake,35.856111,-78.574167
1/21/2023,AQS,371830014,1,4.7,ug/m3 LC,20,Millbrook School,1,100,88101,PM2.5 - Local Conditions,39580,"Raleigh, NC",37,North Carolina,183,Wake,35.856111,-78.574167
1/24/2023,AQS,371830014,1,5.3,ug/m3 LC,22,Millbrook School,1,100,88101,PM2.5 - Local Conditions,39580,"Raleigh, NC",37,North Carolina,183,Wake,35.856111,-78.574167
1/27/2023,AQS,371830014,1,4.9,ug/m3 LC,20,Millbrook School,1,100,88101,PM2.5 - Local Conditions,39580,"Raleigh, NC",37,North Carolina,183,Wake,35.856111,-78.574167
1/30/2023,AQS,371830014,1,7.8,ug/m3 LC,33,Millbrook School,1,100,88101,PM2.5 - Local Conditions,39580,"Raleigh, NC",37,North Carolina,183,Wake,35.856111,-78.574167
2/2/2023,AQS,371830014,1,7.2,ug/m3 LC,30,Millbrook School,1,100,88101,PM2.5 - Local Conditions,39580,"Raleigh, NC",37,North Carolina,183,Wake,35.856111,-78.574167
2/5/2023,AQS,371830014,1,5.7,ug/m3 LC,24,Millbrook School,1,100,88101,PM2.5 - Local Conditions,39580,"Raleigh, NC",37,North Carolina,183,Wake,35.856111,-78.574167
2/8/2023,AQS,371830014,1,12,ug/m3 LC,50,Millbrook School,1,100,88101,PM2.5 - Local Conditions,39580,"Raleigh, NC",37,North Carolina,183,Wake,35.856111,-78.574167
2/11/2023,AQS,371830014,1,3.4,ug/m3 LC,14,Millbrook School,1,100,88101,PM2.5 - Local Conditions,39580,"Raleigh, NC",37,North Carolina,183,Wake,35.856111,-78.574167
2/14/2023,AQS,371830014,1,5.5,ug/m3 LC,23,Millbrook School,1,100,88101,PM2.5 - Local Conditions,39580,"Raleigh, NC",37,North Carolina,183,Wake,35.856111,-78.574167
2/17/2023,AQS,371830014,1,4.2,ug/m3 LC,18,Millbrook School,1,100,88101,PM2.5 - Local Conditions,39580,"Raleigh, NC",37,North Carolina,183,Wake,35.856111,-78.574167
2/20/2023,AQS,371830014,1,10.2,ug/m3 LC,43,Millbrook School,1,100,88101,PM2.5 - Local Conditions,39580,"Raleigh, NC",37,North Carolina,183,Wake,35.856111,-78.574167
2/23/2023,AQS,371830014,1,10.7,ug/m3 LC,45,Millbrook School,1,100,88101,PM2.5 - Local Conditions,39580,"Raleigh, NC",37,North Carolina,183,Wake,35.856111,-78.574167
2/26/2023,AQS,371830014,1,5.4,ug/m3 LC,23,Millbrook School,1,100,88101,PM2.5 - Local Conditions,39580,"Raleigh, NC",37,North Carolina,183,Wake,35.856111,-78.574167
3/1/2023,AQS,371830014,1,8.3,ug/m3 LC,35,Millbrook School,1,100,88101,PM2.5 - Local Conditions,39580,"Raleigh, NC",37,North Carolina,183,Wake,35.856111,-78.574167
3/4/2023,AQS,371830014,1,3.1,ug/m3 LC,13,Millbrook School,1,100,88101,PM2.5 - Local Conditions,39580,"Raleigh, NC",37,North Carolina,183,Wake,35.856111,-78.574167
3/7/2023,AQS,371830014,1,10,ug/m3 LC,42,Millbrook School,1,100,88101,PM2.5 - Local Conditions,39580,"Raleigh, NC",37,North Carolina,183,Wake,35.856111,-78.574167
3/10/2023,AQS,371830014,1,9.9,ug/m3 LC,41,Millbrook School,1,100,88101,PM2.5 - Local Conditions,39580,"Raleigh, NC",37,North Carolina,183,Wake,35.856111,-78.574167
3/13/2023,AQS,371830014,1,2.2,ug/m3 LC,9,Millbrook School,1,100,88101,PM2.5 - Local Conditions,39580,"Raleigh, NC",37,North Carolina,183,Wake,35.856111,-78.574167
3/16/2023,AQS,371830014,1,8.5,ug/m3 LC,35,Millbrook School,1,100,88101,PM2.5 - Local Conditions,39580,"Raleigh, NC",37,North Carolina,183,Wake,35.856111,-78.574167
3/19/2023,AQS,371830014,1,3.7,ug/m3 LC,15,Millbrook School,1,100,88101,PM2.5 - Local Conditions,39580,"Raleigh, NC",37,North Carolina,183,Wake,35.856111,-78.574167
3/22/2023,AQS,371830014,1,9.8,ug/m3 LC,41,Millbrook School,1,100,88101,PM2.5 - Local Conditions,39580,"Raleigh, NC",37,North Carolina,183,Wake,35.856111,-78.574167
3/25/2023,AQS,371830014,1,7.2,ug/m3 LC,30,Millbrook School,1,100,88101,PM2.5 - Local Conditions,39580,"Raleigh, NC",37,North Carolina,183,Wake,35.856111,-78.574167
3/28/2023,AQS,371830014,1,7.4,ug/m3 LC,31,Millbrook School,1,100,88101,PM2.5 - Local Conditions,39580,"Raleigh, NC",37,North Carolina,183,Wake,35.856111,-78.574167
3/31/2023,AQS,371830014,1,6.3,ug/m3 LC,26,Millbrook School,1,100,88101,PM2.5 - Local Conditions,39580,"Raleigh, NC",37,North Carolina,183,Wake,35.856111,-78.574167
4/3/2023,AQS,371830014,1,5.3,ug/m3 LC,22,Millbrook School,1,100,88101,PM2.5 - Local Conditions,39580,"Raleigh, NC",37,North Carolina,183,Wake,35.856111,-78.574167
4/6/2023,AQS,371830014,1,8.9,ug/m3 LC,37,Millbrook School,1,100,88101,PM2.5 - Local Conditions,39580,"Raleigh, NC",37,North Carolina,183,Wake,35.856111,-78.574167
4/9/2023,AQS,371830014,1,3.7,ug/m3 LC,15,Millbrook School,1,100,88101,PM2.5 - Local Conditions,39580,"Raleigh, NC",37,North Carolina,183,Wake,35.856111,-78.574167
4/12/2023,AQS,371830014,1,8.4,ug/m3 LC,35,Millbrook School,1,100,88101,PM2.5 - Local Conditions,39580,"Raleigh, NC",37,North Carolina,183,Wake,35.856111,-78.574167
4/15/2023,AQS,371830014,1,6.3,ug/m3 LC,26,Millbrook School,1,100,88101,PM2.5 - Local Conditions,39580,"Raleigh, NC",37,North Carolina,183,Wake,35.856111,-78.574167
4/18/2023,AQS,371830014,1,6.8,ug/m3 LC,28,Millbrook School,1,100,88101,PM2.5 - Local Conditions,39580,"Raleigh, NC",37,North Carolina,183,Wake,35.856111,-78.574167
4/21/2023,AQS,371830014,1,11.5,ug/m3 LC,48,Millbrook School,1,100,88101,PM2.5 - Local Conditions,39580,"Raleigh, NC",37,North Carolina,183,Wake,35.856111,-78.574167
