County,Year,Days with AQI,Good Days,Moderate Days,Unhealthy for Sensitive Groups Days,Unhealthy Days,Very Unhealthy Days,Hazardous Days,Max AQI,90th Percentile AQI,Median AQI,Days CO,Days NO2,Days Ozone,Days PM2.5,Days PM10,Good_to_Moderate_Ratio,Unhealthy_Days_Percentage
Buncombe,2000,260.0,129.0,110.0,15.0,6.0,0.0,0.0,179.0,93.0,51.0,0.0,0.0,176.0,84.0,0.0,1.1727272727272726,8.076923076923077
Buncombe,2001,253.0,141.0,100.0,11.0,1.0,0.0,0.0,171.0,87.0,48.0,0.0,0.0,174.0,78.0,1.0,1.41,4.743083003952568
Buncombe,2002,260.0,144.0,83.0,27.0,6.0,0.0,0.0,179.0,108.0,48.0,0.0,0.0,172.0,88.0,0.0,1.7349397590361446,12.692307692307692
Buncombe,2003,303.0,178.0,119.0,6.0,0.0,0.0,0.0,137.0,72.0,46.0,0.0,0.0,90.0,213.0,0.0,1.495798319327731,1.9801980198019802
Buncombe,2004,357.0,187.0,166.0,4.0,0.0,0.0,0.0,133.0,74.0,49.0,0.0,0.0,82.0,275.0,0.0,1.1265060240963856,1.1204481792717087
Buncombe,2005,362.0,192.0,159.0,10.0,1.0,0.0,0.0,154.0,80.0,49.0,0.0,0.0,82.0,280.0,0.0,1.2075471698113207,3.0386740331491713
Buncombe,2006,364.0,182.0,177.0,5.0,0.0,0.0,0.0,143.0,74.0,51.0,0.0,0.0,83.0,281.0,0.0,1.0282485875706215,1.3736263736263736
Buncombe,2007,344.0,161.0,173.0,10.0,0.0,0.0,0.0,122.0,80.0,53.0,0.0,0.0,96.0,248.0,0.0,0.930635838150289,2.9069767441860463
Buncombe,2008,364.0,215.0,145.0,4.0,0.0,0.0,0.0,133.0,71.0,45.0,0.0,0.0,107.0,257.0,0.0,1.4827586206896552,1.098901098901099
Buncombe,2009,363.0,272.0,91.0,0.0,0.0,0.0,0.0,97.0,59.0,40.0,0.0,0.0,99.0,264.0,0.0,2.989010989010989,0.0
