County,Year,Days with AQI,Good Days,Moderate Days,Unhealthy for Sensitive Groups Days,Unhealthy Days,Very Unhealthy Days,Hazardous Days,Max AQI,90th Percentile AQI,Median AQI,Days CO,Days NO2,Days Ozone,Days PM2.5,Days PM10,Good_to_Moderate_Ratio,Unhealthy_Days_Percentage,Average CO Value,Median CO Value,90th Percentile CO Value,Average NO2 Value,Median NO2 Value,90th Percentile NO2 Value,Average OZONE Value,Median OZONE Value,90th Percentile OZONE Value,Average PM2 Value,Median PM2 Value,90th Percentile PM2 Value,Average PM10 Value,Median PM10 Value,90th Percentile PM10 Value,90th Percentile Sum,Average 90th Percentile
Mecklenburg,2000,366.0,90.0,213.0,43.0,17.0,3.0,0.0,222.0,122.0,63.0,1.0,20.0,116.0,229.0,0.0,0.4225352112676056,17.21311475409836,0.4006557377049179,0.4,7.0,17.3181512605042,16.5,26.0,0.0450065359477124,0.045,67.0,9.021608527131782,8.0,57.89999999999998,14.183254344391786,13.0,22.0,179.89999999999998,35.98
Mecklenburg,2001,365.0,96.0,212.0,46.0,10.0,1.0,0.0,201.0,113.0,59.0,0.0,19.0,124.0,221.0,1.0,0.4528301886792453,15.616438356164384,0.4006557377049179,0.4,7.0,17.3181512605042,16.5,26.0,0.0450065359477124,0.045,67.0,9.021608527131782,8.0,57.89999999999998,14.183254344391786,13.0,22.0,179.89999999999998,35.98
Mecklenburg,2002,364.0,118.0,193.0,28.0,20.0,5.0,0.0,215.0,129.0,58.0,1.0,20.0,131.0,212.0,0.0,0.6113989637305699,14.560439560439562,0.4006557377049179,0.4,7.0,17.3181512605042,16.5,26.0,0.0450065359477124,0.045,67.0,9.021608527131782,8.0,57.89999999999998,14.183254344391786,13.0,22.0,179.89999999999998,35.98
Mecklenburg,2003,365.0,128.0,211.0,22.0,3.0,1.0,0.0,209.0,93.0,56.0,0.0,28.0,101.0,235.0,1.0,0.6066350710900474,7.123287671232877,0.4006557377049179,0.4,7.0,17.3181512605042,16.5,26.0,0.0450065359477124,0.045,67.0,9.021608527131782,8.0,57.89999999999998,14.183254344391786,13.0,22.0,179.89999999999998,35.98
Mecklenburg,2004,366.0,111.0,221.0,31.0,2.0,1.0,0.0,202.0,100.0,59.0,0.0,21.0,98.0,247.0,0.0,0.502262443438914,9.289617486338798,0.4006557377049179,0.4,7.0,17.3181512605042,16.5,26.0,0.0450065359477124,0.045,67.0,9.021608527131782,8.0,57.89999999999998,14.183254344391786,13.0,22.0,179.89999999999998,35.98
Mecklenburg,2005,365.0,106.0,211.0,40.0,7.0,1.0,0.0,206.0,112.0,61.0,0.0,10.0,112.0,243.0,0.0,0.5023696682464455,13.150684931506849,0.4006557377049179,0.4,7.0,17.3181512605042,16.5,26.0,0.0450065359477124,0.045,67.0,9.021608527131782,8.0,57.89999999999998,14.183254344391786,13.0,22.0,179.89999999999998,35.98
Mecklenburg,2006,365.0,120.0,205.0,30.0,10.0,0.0,0.0,195.0,105.0,62.0,0.0,9.0,118.0,238.0,0.0,0.5853658536585366,10.95890410958904,0.4006557377049179,0.4,7.0,17.3181512605042,16.5,26.0,0.0450065359477124,0.045,67.0,9.021608527131782,8.0,57.89999999999998,14.183254344391786,13.0,22.0,179.89999999999998,35.98
Mecklenburg,2007,365.0,116.0,196.0,37.0,14.0,2.0,0.0,223.0,115.0,61.0,0.0,13.0,162.0,190.0,0.0,0.5918367346938775,14.52054794520548,0.4006557377049179,0.4,7.0,17.3181512605042,16.5,26.0,0.0450065359477124,0.045,67.0,9.021608527131782,8.0,57.89999999999998,14.183254344391786,13.0,22.0,179.89999999999998,35.98
Mecklenburg,2008,366.0,136.0,200.0,25.0,5.0,0.0,0.0,190.0,97.0,55.0,0.0,9.0,145.0,212.0,0.0,0.68,8.19672131147541,0.4006557377049179,0.4,7.0,17.3181512605042,16.5,26.0,0.0450065359477124,0.045,67.0,9.021608527131782,8.0,57.89999999999998,14.183254344391786,13.0,22.0,179.89999999999998,35.98
Mecklenburg,2009,365.0,191.0,166.0,8.0,0.0,0.0,0.0,133.0,74.0,49.0,0.0,5.0,134.0,226.0,0.0,1.1506024096385543,2.191780821917808,0.4006557377049179,0.4,7.0,17.3181512605042,16.5,26.0,0.0450065359477124,0.045,67.0,9.021608527131782,8.0,57.89999999999998,14.183254344391786,13.0,22.0,179.89999999999998,35.98
