County,Year,Days with AQI,Good Days,Moderate Days,Unhealthy for Sensitive Groups Days,Unhealthy Days,Very Unhealthy Days,Hazardous Days,Max AQI,90th Percentile AQI,Median AQI,Days CO,Days NO2,Days Ozone,Days PM2.5,Days PM10
Alamance,2010,363,231,132,0,0,0,0,91,62,43,0,0,0,363,0
Alexander,2010,214,132,75,7,0,0,0,140,84,46,0,0,214,0,0
Avery,2010,362,280,75,7,0,0,0,122,71,44,0,0,346,16,0
Buncombe,2010,364,246,114,4,0,0,0,119,65,44,0,0,119,245,0
Caldwell,2010,212,149,59,4,0,0,0,122,74,44,0,0,212,0,0
Carteret,2010,318,279,38,1,0,0,0,101,54,37,0,0,318,0,0
Caswell,2010,365,234,125,6,0,0,0,126,71,44,0,0,153,212,0
Catawba,2010,363,215,148,0,0,0,0,88,64,45,0,0,0,363,0
Chatham,2010,257,194,61,2,0,0,0,108,66,40,0,0,171,86,0
Cumberland,2010,362,208,146,7,1,0,0,151,77,48,0,0,165,197,0
Davidson,2010,352,215,137,0,0,0,0,89,62,45,0,0,0,352,0
Davie,2010,214,125,81,8,0,0,0,140,87,48,0,0,214,0,0
Duplin,2010,121,95,26,0,0,0,0,67,57,35,0,0,0,116,5
Durham,2010,364,230,126,8,0,0,0,129,67,45,0,0,132,232,0
Edgecombe,2010,263,165,94,4,0,0,0,136,77,46,0,0,193,70,0
Forsyth,2010,365,164,178,20,3,0,0,169,93,52,0,12,137,216,0
Franklin,2010,214,156,54,4,0,0,0,119,71,44,0,0,214,0,0
Gaston,2010,361,222,139,0,0,0,0,94,60,44,0,0,0,361,0
Graham,2010,196,108,76,12,0,0,0,119,87,48,0,0,196,0,0
Granville,2010,214,122,86,6,0,0,0,136,80,48,0,0,214,0,0
Guilford,2010,364,200,145,18,1,0,0,154,80,48,0,0,144,219,1
Haywood,2010,267,149,108,10,0,0,0,122,80,49,0,0,197,70,0
Hyde,2010,118,106,12,0,0,0,0,73,52,24,0,0,0,118,0
Jackson,2010,256,146,107,3,0,0,0,136,77,49,0,0,194,62,0
Johnston,2010,266,163,97,6,0,0,0,119,74,46,0,0,183,83,0
Lenoir,2010,260,184,74,2,0,0,0,140,71,44,0,0,190,70,0
Lincoln,2010,212,130,74,8,0,0,0,143,84,46,0,0,212,0,0
Macon,2010,356,323,31,2,0,0,0,129,50,36,0,0,356,0,0
Martin,2010,357,245,109,3,0,0,0,133,67,42,0,0,172,185,0
McDowell,2010,362,255,107,0,0,0,0,77,60,40,0,0,0,362,0
Mecklenburg,2010,365,159,182,20,4,0,0,177,92,54,0,16,170,179,0
Mitchell,2010,121,88,33,0,0,0,0,67,59,40,0,0,0,121,0
Montgomery,2010,331,247,80,4,0,0,0,129,64,41,0,0,281,50,0
New Hanover,2010,360,296,63,1,0,0,0,129,58,38,0,0,165,195,0
Person,2010,213,123,79,11,0,0,0,129,87,48,0,0,213,0,0
Pitt,2010,257,175,79,3,0,0,0,136,74,44,0,0,188,69,0
Robeson,2010,121,84,37,0,0,0,0,83,58,41,0,0,0,121,0
Rockingham,2010,214,117,88,8,1,0,0,156,90,49,0,0,214,0,0
Rowan,2010,365,180,164,20,1,0,0,169,93,51,0,0,224,141,0
Swain,2010,359,243,116,0,0,0,0,97,61,43,0,0,72,287,0
Union,2010,221,139,75,7,0,0,0,115,80,45,0,0,221,0,0
Wake,2010,365,183,173,9,0,0,0,143,80,50,0,0,185,180,0
Watauga,2010,119,93,26,0,0,0,0,71,55,35,0,0,0,119,0
Wayne,2010,356,243,113,0,0,0,0,92,59,43,0,0,0,356,0
Yancey,2010,211,130,74,7,0,0,0,129,80,48,0,0,211,0,0
Alamance,2011,365,242,121,2,0,0,0,108,62,43,0,0,0,365,0
Alexander,2011,210,155,52,3,0,0,0,105,64,46,0,0,210,0,0
Avery,2011,362,297,65,0,0,0,0,84,58,43,0,0,347,15,0
Buncombe,2011,364,261,103,0,0,0,0,100,64,42,0,0,140,224,0
Caldwell,2011,214,161,53,0,0,0,0,100,61,45,0,0,214,0,0
Carteret,2011,272,239,33,0,0,0,0,87,51,39,0,0,272,0,0
Caswell,2011,363,243,117,3,0,0,0,129,68,43,0,0,151,212,0
Catawba,2011,365,229,136,0,0,0,0,93,63,43,0,0,0,365,0
Chatham,2011,261,200,61,0,0,0,0,100,64,41,0,0,190,71,0
Cumberland,2011,365,207,148,10,0,0,0,143,80,48,0,0,157,208,0
Davidson,2011,360,211,149,0,0,0,0,79,63,47,0,0,0,360,0
Davie,2011,214,141,66,7,0,0,0,119,80,47,0,0,214,0,0
Duplin,2011,119,92,26,1,0,0,0,112,59,34,0,0,0,119,0
Durham,2011,365,251,111,3,0,0,0,122,74,43,0,0,146,219,0
Edgecombe,2011,298,200,91,7,0,0,0,122,77,43,0,0,125,173,0
Forsyth,2011,365,211,141,13,0,0,0,147,80,47,0,13,157,195,0
Franklin,2011,214,156,54,4,0,0,0,136,80,45,0,0,214,0,0
Gaston,2011,345,219,126,0,0,0,0,89,62,43,0,0,0,345,0
Graham,2011,204,106,91,7,0,0,0,122,87,50,0,0,204,0,0
Granville,2011,212,130,78,3,1,0,0,156,90,49,0,0,212,0,0
Guilford,2011,361,220,130,11,0,0,0,140,80,47,0,0,167,194,0
Haywood,2011,271,157,110,4,0,0,0,122,74,49,0,0,198,73,0
Hyde,2011,110,95,14,1,0,0,0,127,56,23,0,0,0,110,0
Jackson,2011,265,156,105,4,0,0,0,126,74,48,0,0,199,66,0
Johnston,2011,257,169,81,7,0,0,0,136,80,45,0,0,197,60,0
Lenoir,2011,259,185,69,4,1,0,0,159,74,44,0,0,189,70,0
Lincoln,2011,213,126,75,12,0,0,0,129,87,48,0,0,213,0,0
Macon,2011,328,296,32,0,0,0,0,97,50,38,0,0,328,0,0
Martin,2011,345,254,88,2,1,0,0,172,67,40,0,0,132,213,0
McDowell,2011,357,239,118,0,0,0,0,83,62,40,0,0,0,357,0
Mecklenburg,2011,365,169,164,24,8,0,0,169,97,52,0,4,197,164,0
Mitchell,2011,117,91,26,0,0,0,0,75,55,38,0,0,0,117,0
Montgomery,2011,342,257,84,1,0,0,0,112,64,42,0,0,302,40,0
New Hanover,2011,361,285,74,2,0,0,0,120,60,37,0,0,139,222,0
Person,2011,214,141,68,5,0,0,0,143,77,46,0,0,214,0,0
Pitt,2011,259,174,78,7,0,0,0,136,87,44,0,0,199,60,0
Robeson,2011,121,85,36,0,0,0,0,100,61,39,0,0,0,121,0
Rockingham,2011,212,119,89,4,0,0,0,129,84,49,0,0,212,0,0
Rowan,2011,365,193,148,23,1,0,0,159,87,50,0,0,235,130,0
Swain,2011,362,203,159,0,0,0,0,80,63,48,0,0,88,274,0
Union,2011,209,133,62,14,0,0,0,126,87,45,0,0,209,0,0
Wake,2011,365,209,133,21,2,0,0,156,87,47,0,0,200,165,0
Watauga,2011,117,94,23,0,0,0,0,71,56,31,0,0,0,117,0
Wayne,2011,346,237,107,1,1,0,0,154,60,39,0,0,0,346,0
Yancey,2011,191,72,115,4,0,0,0,126,87,58,0,0,191,0,0
Alamance,2012,361,294,67,0,0,0,0,88,55,37,0,0,0,361,0
Alexander,2012,209,161,46,2,0,0,0,126,67,44,0,0,209,0,0
Avery,2012,364,313,48,3,0,0,0,143,58,42,0,0,358,6,0
Buncombe,2012,366,291,73,2,0,0,0,150,57,40,0,0,139,227,0
Caldwell,2012,214,182,31,1,0,0,0,129,58,42,0,0,214,0,0
Carteret,2012,252,241,11,0,0,0,0,84,45,35,0,0,252,0,0
Caswell,2012,353,238,111,4,0,0,0,136,64,43,0,0,120,233,0
Catawba,2012,339,259,80,0,0,0,0,80,55,39,0,0,0,339,0
Chatham,2012,263,235,27,0,1,0,0,151,51,37,0,0,195,68,0
Cumberland,2012,363,272,87,4,0,0,0,147,63,42,0,0,163,200,0
Davidson,2012,360,237,123,0,0,0,0,80,59,43,0,0,0,360,0
Davie,2012,214,151,58,4,1,0,0,174,71,44,0,0,214,0,0
Duplin,2012,314,216,98,0,0,0,0,94,60,42,0,0,0,314,0
Durham,2012,365,286,72,6,1,0,0,151,61,39,0,0,150,215,0
Edgecombe,2012,359,288,67,3,1,0,0,161,58,39,0,0,141,218,0
Forsyth,2012,366,235,119,10,2,0,0,154,77,44,0,18,170,178,0
Franklin,2012,212,171,36,4,1,0,0,159,67,42,0,0,212,0,0
Gaston,2012,345,263,82,0,0,0,0,82,56,40,0,0,0,345,0
Graham,2012,209,131,75,3,0,0,0,126,77,48,0,0,209,0,0
Granville,2012,214,166,43,4,1,0,0,154,71,42,0,0,214,0,0
Guilford,2012,364,264,92,7,1,0,0,154,67,43,0,0,176,188,0
Haywood,2012,266,159,103,4,0,0,0,136,77,49,0,0,210,56,0
Hyde,2012,108,102,6,0,0,0,0,66,41,22,0,0,0,108,0
